,IDF
tension,5.5093883366279774
as,4.820281565605037
hungari,4.820281565605037
mark,5.5093883366279774
upris,5.5093883366279774
stanford,5.5093883366279774
studi,3.457892725338701
warn,4.135166556742356
internet,4.135166556742356
addict,4.820281565605037
no,4.135166556742356
evid,5.5093883366279774
ic,5.5093883366279774
reserv,5.5093883366279774
moon,5.5093883366279774
parachutist,5.5093883366279774
di,3.7376696182833684
bridg,4.820281565605037
jump,4.418840607796598
festiv,5.5093883366279774
octob,5.5093883366279774
chef,5.5093883366279774
count,5.5093883366279774
calori,5.5093883366279774
death,4.820281565605037
link,4.135166556742356
flu,4.135166556742356
vaccin,4.418840607796598
perfect,5.5093883366279774
live,5.5093883366279774
lose,4.418840607796598
focu,5.5093883366279774
bread,5.5093883366279774
heavi,4.418840607796598
diet,5.5093883366279774
kidnei,5.5093883366279774
cancer,4.418840607796598
beat,5.5093883366279774
poverti,4.820281565605037
small,5.5093883366279774
wai,4.820281565605037
israel,4.820281565605037
lebanon,4.418840607796598
overflight,5.5093883366279774
britain,4.820281565605037
eu,5.5093883366279774
member,4.820281565605037
confus,4.418840607796598
reign,4.820281565605037
expand,4.820281565605037
digit,4.820281565605037
world,4.820281565605037
exhibit,5.5093883366279774
celebr,4.418840607796598
histori,5.5093883366279774
video,4.820281565605037
peac,4.820281565605037
marin,5.5093883366279774
fight,5.5093883366279774
west,5.5093883366279774
baghdad,4.418840607796598
scientist,4.135166556742356
creat,5.5093883366279774
first,5.5093883366279774
cloak,5.5093883366279774
devic,5.5093883366279774
amateur,5.5093883366279774
rocket,5.5093883366279774
reach,4.820281565605037
space,5.5093883366279774
admit,4.418840607796598
phosphor,5.5093883366279774
shell,5.5093883366279774
th,5.5093883366279774
person,5.5093883366279774
receiv,5.5093883366279774
shot,5.5093883366279774
polic,4.135166556742356
target,5.5093883366279774
grow,4.820281565605037
violenc,4.820281565605037
discov,5.5093883366279774
miracl,5.5093883366279774
depth,5.5093883366279774
doctor,5.5093883366279774
see,5.5093883366279774
patient,5.5093883366279774
who,4.418840607796598
think,5.5093883366279774
thei,5.5093883366279774
china,4.418840607796598
launch,4.418840607796598
two,4.418840607796598
into,4.418840607796598
orbit,5.5093883366279774
mai,3.457892725338701
boost,4.418840607796598
power,4.820281565605037
older,4.820281565605037
adult,4.820281565605037
near,5.5093883366279774
categori,5.5093883366279774
statu,5.5093883366279774
sink,4.418840607796598
crew,5.5093883366279774
iran,4.820281565605037
presid,4.820281565605037
higher,5.5093883366279774
birth,5.5093883366279774
rate,4.820281565605037
massiv,5.5093883366279774
market,5.5093883366279774
gain,5.5093883366279774
tumor,5.5093883366279774
type,5.5093883366279774
explain,5.5093883366279774
surviv,5.5093883366279774
routin,5.5093883366279774
mission,5.5093883366279774
turn,5.5093883366279774
hunt,5.5093883366279774
comrad,5.5093883366279774
weather,5.5093883366279774
korean,4.820281565605037
search,4.820281565605037
tailor,5.5093883366279774
housew,5.5093883366279774
busi,5.5093883366279774
muslim,5.5093883366279774
eid,5.5093883366279774
activ,5.5093883366279774
bring,5.5093883366279774
promis,5.5093883366279774
develop,5.5093883366279774
abba,5.5093883366279774
condemn,4.820281565605037
isra,4.820281565605037
massacr,5.5093883366279774
northern,5.5093883366279774
strip,5.5093883366279774
bangladesh,5.5093883366279774
ferri,5.5093883366279774
buc,5.5093883366279774
kick,5.5093883366279774
googl,4.820281565605037
unveil,5.5093883366279774
elect,5.5093883366279774
mashup,5.5093883366279774
child,4.418840607796598
exploit,5.5093883366279774
onlin,5.5093883366279774
breast,5.5093883366279774
awar,5.5093883366279774
import,4.820281565605037
tackl,4.820281565605037
violent,4.820281565605037
protestor,5.5093883366279774
driver,5.5093883366279774
had,4.820281565605037
proud,5.5093883366279774
brazil,4.418840607796598
protest,4.820281565605037
malibu,5.5093883366279774
ga,4.820281565605037
facil,5.5093883366279774
presto,5.5093883366279774
he,5.5093883366279774
batman,5.5093883366279774
then,5.5093883366279774
magic,4.820281565605037
man,3.9160150266976834
mobil,5.5093883366279774
phone,5.5093883366279774
can,5.5093883366279774
infertil,5.5093883366279774
pacif,5.5093883366279774
successfulli,5.5093883366279774
prestig,5.5093883366279774
ha,5.5093883366279774
touch,5.5093883366279774
li,5.5093883366279774
damn,5.5093883366279774
divorc,5.5093883366279774
inspir,5.5093883366279774
giant,5.5093883366279774
dalla,5.5093883366279774
riot,4.820281565605037
franc,4.820281565605037
suburb,4.820281565605037
full,5.5093883366279774
recoveri,5.5093883366279774
expect,5.5093883366279774
soni,4.820281565605037
apologis,5.5093883366279774
global,4.820281565605037
batteri,5.5093883366279774
recal,5.5093883366279774
credit,5.5093883366279774
card,5.5093883366279774
safeti,5.5093883366279774
budapest,5.5093883366279774
calm,5.5093883366279774
night,5.5093883366279774
criticis,5.5093883366279774
press,5.5093883366279774
freedom,5.5093883366279774
french,4.820281565605037
resum,5.5093883366279774
basebal,5.5093883366279774
roger,5.5093883366279774
enjoi,5.5093883366279774
hi,5.5093883366279774
muddi,5.5093883366279774
streak,5.5093883366279774
cultur,5.5093883366279774
revolutionari,5.5093883366279774
five,5.5093883366279774
mayb,5.5093883366279774
inconveni,5.5093883366279774
truth,5.5093883366279774
difficult,5.5093883366279774
harri,5.5093883366279774
potter,5.5093883366279774
student,4.418840607796598
rite,5.5093883366279774
passag,5.5093883366279774
putin,5.5093883366279774
vow,5.5093883366279774
illeg,5.5093883366279774
ottawa,5.5093883366279774
must,5.5093883366279774
redefin,5.5093883366279774
terror,4.135166556742356
limit,5.5093883366279774
worker,5.5093883366279774
romania,5.5093883366279774
bulgaria,5.5093883366279774
top,5.5093883366279774
gener,5.5093883366279774
optimist,5.5093883366279774
kim,5.5093883366279774
osorio,5.5093883366279774
sexual,5.5093883366279774
harrass,5.5093883366279774
suit,5.5093883366279774
against,4.820281565605037
sourc,5.5093883366279774
silli,5.5093883366279774
substanti,5.5093883366279774
offici,4.418840607796598
laugh,5.5093883366279774
borat,5.5093883366279774
speaker,5.5093883366279774
hastert,4.820281565605037
testifi,5.5093883366279774
befor,4.820281565605037
panel,5.5093883366279774
sex,4.820281565605037
scandal,4.820281565605037
ukrain,5.5093883366279774
come,5.5093883366279774
cost,5.5093883366279774
colleg,5.5093883366279774
tuition,5.5093883366279774
continu,5.5093883366279774
climb,5.5093883366279774
german,4.820281565605037
paper,4.418840607796598
show,5.5093883366279774
soldier,5.5093883366279774
desecr,5.5093883366279774
skull,5.5093883366279774
war,5.5093883366279774
close,5.5093883366279774
ethiopia,5.5093883366279774
tell,4.820281565605037
somali,5.5093883366279774
rebel,5.5093883366279774
advantag,5.5093883366279774
cardin,5.5093883366279774
suppan,5.5093883366279774
spacecraft,5.5093883366279774
measur,5.5093883366279774
hate,5.5093883366279774
european,5.5093883366279774
ps,5.5093883366279774
appear,5.5093883366279774
safe,5.5093883366279774
young,5.5093883366279774
children,5.5093883366279774
yet,5.5093883366279774
anoth,5.5093883366279774
tool,5.5093883366279774
outer,5.5093883366279774
band,5.5093883366279774
hit,4.418840607796598
mexico,5.5093883366279774
baja,5.5093883366279774
california,5.5093883366279774
bomblet,5.5093883366279774
plagu,5.5093883366279774
indonesia,4.820281565605037
calam,4.820281565605037
mud,4.820281565605037
bath,4.820281565605037
made,4.820281565605037
u,3.587479339672207
weigh,5.5093883366279774
sanction,5.5093883366279774
north,4.820281565605037
korea,5.5093883366279774
rice,5.5093883366279774
that,5.5093883366279774
iraqi,3.9160150266976834
senat,5.5093883366279774
should,5.5093883366279774
rethink,5.5093883366279774
strategi,5.5093883366279774
chief,5.5093883366279774
forg,5.5093883366279774
accord,5.5093883366279774
financ,5.5093883366279774
health,5.5093883366279774
care,5.5093883366279774
turkish,5.5093883366279774
writer,5.5093883366279774
effort,5.5093883366279774
stifl,5.5093883366279774
speech,5.5093883366279774
backfir,5.5093883366279774
kurdish,5.5093883366279774
lawmak,5.5093883366279774
anti,5.5093883366279774
spread,4.820281565605037
face,5.5093883366279774
greatest,5.5093883366279774
threat,4.820281565605037
appeal,4.820281565605037
chines,5.5093883366279774
research,5.5093883366279774
time,5.5093883366279774
soon,5.5093883366279774
heard,5.5093883366279774
air,5.5093883366279774
forc,4.418840607796598
cite,4.820281565605037
fault,5.5093883366279774
fatal,5.5093883366279774
crash,4.418840607796598
mix,5.5093883366279774
oil,5.5093883366279774
environment,5.5093883366279774
standoff,4.820281565605037
genghi,5.5093883366279774
khan,5.5093883366279774
beer,5.5093883366279774
mongolia,5.5093883366279774
grimac,5.5093883366279774
bachelor,5.5093883366279774
remot,5.5093883366279774
still,5.5093883366279774
wive,5.5093883366279774
pari,5.5093883366279774
journal,5.5093883366279774
smoke,5.5093883366279774
longer,5.5093883366279774
tre,5.5093883366279774
chic,5.5093883366279774
old,5.5093883366279774
letter,5.5093883366279774
cast,5.5093883366279774
doubt,5.5093883366279774
uranium,5.5093883366279774
about,5.5093883366279774
nuclear,5.5093883366279774
test,5.5093883366279774
sludg,5.5093883366279774
end,4.820281565605037
tragedi,5.5093883366279774
ivori,5.5093883366279774
coast,5.5093883366279774
equip,5.5093883366279774
plane,4.820281565605037
collis,5.5093883366279774
been,5.5093883366279774
faulti,5.5093883366279774
add,4.820281565605037
law,5.5093883366279774
list,4.820281565605037
danger,5.5093883366279774
n,5.5093883366279774
tread,5.5093883366279774
lightli,5.5093883366279774
lebanes,5.5093883366279774
soil,5.5093883366279774
cleric,5.5093883366279774
said,5.5093883366279774
rein,5.5093883366279774
part,4.820281565605037
militia,5.5093883366279774
spy,5.5093883366279774
agenc,5.5093883366279774
democrat,5.5093883366279774
seek,4.820281565605037
chang,5.5093883366279774
opera,5.5093883366279774
cancel,5.5093883366279774
depict,5.5093883366279774
muhammad,5.5093883366279774
militari,4.820281565605037
critic,5.5093883366279774
govern,5.5093883366279774
teacher,5.5093883366279774
hide,5.5093883366279774
islam,4.820281565605037
stir,5.5093883366279774
comb,5.5093883366279774
releas,5.5093883366279774
unarm,5.5093883366279774
battalion,5.5093883366279774
qaeda,5.5093883366279774
armi,5.5093883366279774
messag,5.5093883366279774
out,4.820281565605037
sunni,5.5093883366279774
bloc,5.5093883366279774
held,5.5093883366279774
plot,4.418840607796598
seduc,5.5093883366279774
snack,5.5093883366279774
you,4.820281565605037
friend,5.5093883366279774
emerg,5.5093883366279774
biologi,5.5093883366279774
emot,5.5093883366279774
heal,5.5093883366279774
alzheim,4.418840607796598
drug,5.5093883366279774
offer,5.5093883366279774
across,5.5093883366279774
europ,5.5093883366279774
worri,5.5093883366279774
center,5.5093883366279774
cook,5.5093883366279774
defin,5.5093883366279774
sephard,5.5093883366279774
jew,5.5093883366279774
sukkot,5.5093883366279774
fit,5.5093883366279774
bodi,5.5093883366279774
motion,5.5093883366279774
clean,5.5093883366279774
sober,5.5093883366279774
god,5.5093883366279774
name,5.5093883366279774
religion,5.5093883366279774
base,5.5093883366279774
tax,5.5093883366279774
break,5.5093883366279774
hous,5.5093883366279774
paycheck,5.5093883366279774
book,5.5093883366279774
yanke,4.418840607796598
eleph,5.5093883366279774
crackup,5.5093883366279774
youtub,5.5093883366279774
grad,5.5093883366279774
jackpot,5.5093883366279774
again,4.820281565605037
dow,4.820281565605037
flirt,5.5093883366279774
record,4.418840607796598
high,5.5093883366279774
isaac,5.5093883366279774
form,5.5093883366279774
atlant,5.5093883366279774
tape,5.5093883366279774
call,4.820281565605037
abduct,5.5093883366279774
foreign,5.5093883366279774
deep,4.820281565605037
regret,5.5093883366279774
ex,4.418840607796598
hp,5.5093883366279774
exec,5.5093883366279774
opportun,5.5093883366279774
knock,5.5093883366279774
geologist,5.5093883366279774
dream,5.5093883366279774
crater,5.5093883366279774
squirrel,5.5093883366279774
boi,5.5093883366279774
park,5.5093883366279774
rabi,5.5093883366279774
suspect,4.820281565605037
girl,4.820281565605037
left,5.5093883366279774
comatos,5.5093883366279774
dental,5.5093883366279774
visit,5.5093883366279774
porn,4.418840607796598
star,4.418840607796598
candid,5.5093883366279774
campaign,5.5093883366279774
campu,4.820281565605037
school,4.820281565605037
footbal,5.5093883366279774
season,5.5093883366279774
start,4.820281565605037
charli,5.5093883366279774
sheen,5.5093883366279774
becom,5.5093883366279774
highest,5.5093883366279774
paid,5.5093883366279774
sitcom,5.5093883366279774
jon,5.5093883366279774
stewart,5.5093883366279774
mock,5.5093883366279774
benefit,5.5093883366279774
cnn,5.5093883366279774
i,5.5093883366279774
ashton,5.5093883366279774
kutcher,5.5093883366279774
secret,5.5093883366279774
ryan,5.5093883366279774
seacrest,5.5093883366279774
nail,5.5093883366279774
chalkboard,5.5093883366279774
earn,5.5093883366279774
ig,5.5093883366279774
gunman,4.820281565605037
fine,5.5093883366279774
shoot,5.5093883366279774
marijuana,5.5093883366279774
stave,5.5093883366279774
off,4.820281565605037
kentucki,4.820281565605037
alcohol,4.820281565605037
huf,5.5093883366279774
ban,4.820281565605037
toddler,4.820281565605037
taint,4.820281565605037
spinach,4.820281565605037
judg,5.5093883366279774
dismiss,5.5093883366279774
karr,5.5093883366279774
case,4.820281565605037
die,5.5093883366279774
hour,5.5093883366279774
kashmir,5.5093883366279774
slain,5.5093883366279774
amish,4.418840607796598
laid,5.5093883366279774
rest,4.820281565605037
flee,5.5093883366279774
plant,4.820281565605037
fire,4.820281565605037
cher,4.418840607796598
auction,4.820281565605037
fetch,5.5093883366279774
doubl,5.5093883366279774
pre,5.5093883366279774
sale,5.5093883366279774
estim,5.5093883366279774
scuffl,4.820281565605037
grei,4.820281565605037
anatomi,5.5093883366279774
under,4.418840607796598
schoolhous,5.5093883366279774
torn,5.5093883366279774
down,5.5093883366279774
warner,5.5093883366279774
run,4.820281565605037
reid,5.5093883366279774
land,4.820281565605037
scrutini,4.820281565605037
flood,4.820281565605037
wash,5.5093883366279774
road,5.5093883366279774
valdez,5.5093883366279774
alaska,4.820281565605037
briton,5.5093883366279774
bomb,4.820281565605037
role,5.5093883366279774
commentari,5.5093883366279774
minutemen,4.820281565605037
right,4.820281565605037
idiot,4.820281565605037
file,4.820281565605037
gunmen,4.820281565605037
tv,4.418840607796598
station,5.5093883366279774
sorri,5.5093883366279774
but,5.5093883366279774
quit,5.5093883366279774
jonbenet,5.5093883366279774
drop,4.820281565605037
wast,5.5093883366279774
evacu,5.5093883366279774
e,5.5093883366279774
coli,5.5093883366279774
disturb,5.5093883366279774
raid,4.820281565605037
magazin,5.5093883366279774
abort,5.5093883366279774
pot,5.5093883366279774
smoker,5.5093883366279774
avoid,5.5093883366279774
white,5.5093883366279774
club,5.5093883366279774
want,5.5093883366279774
inhal,5.5093883366279774
peter,5.5093883366279774
pan,5.5093883366279774
fli,5.5093883366279774
chapter,5.5093883366279774
teen,5.5093883366279774
repel,5.5093883366279774
inventor,5.5093883366279774
infam,5.5093883366279774
prize,4.418840607796598
dress,5.5093883366279774
car,5.5093883366279774
bed,5.5093883366279774
owner,5.5093883366279774
ey,5.5093883366279774
virginia,5.5093883366279774
gov,5.5093883366279774
pitcher,5.5093883366279774
pilot,5.5093883366279774
log,5.5093883366279774
dem,5.5093883366279774
leader,5.5093883366279774
million,5.5093883366279774
lock,5.5093883366279774
up,4.820281565605037
son,5.5093883366279774
watch,5.5093883366279774
navarrett,5.5093883366279774
pit,5.5093883366279774
bull,5.5093883366279774
miniatur,5.5093883366279774
poni,5.5093883366279774
her,5.5093883366279774
bloodi,5.5093883366279774
town,5.5093883366279774
cut,5.5093883366279774
state,5.5093883366279774
trailblaz,5.5093883366279774
trio,5.5093883366279774
citi,5.5093883366279774
bai,5.5093883366279774
malawi,5.5093883366279774
dr,5.5093883366279774
mcdreami,5.5093883366279774
choke,5.5093883366279774
poetri,5.5093883366279774
award,4.820281565605037
la,5.5093883366279774
vega,5.5093883366279774
honour,5.5093883366279774
tiger,5.5093883366279774
charact,5.5093883366279774
box,5.5093883366279774
offic,5.5093883366279774
item,5.5093883366279774
snap,5.5093883366279774
griffith,5.5093883366279774
scorn,5.5093883366279774
withnail,5.5093883366279774
plai,5.5093883366279774
lili,5.5093883366279774
allen,5.5093883366279774
web,5.5093883366279774
costner,5.5093883366279774
casino,5.5093883366279774
wrangl,5.5093883366279774
beyonc,5.5093883366279774
copyright,5.5093883366279774
claim,5.5093883366279774
reject,5.5093883366279774
cohn,5.5093883366279774
jail,5.5093883366279774
year,5.5093883366279774
melua,5.5093883366279774
sea,5.5093883366279774
gig,5.5093883366279774
sri,5.5093883366279774
lanka,5.5093883366279774
clash,5.5093883366279774
itali,5.5093883366279774
sicili,5.5093883366279774
plan,5.5093883366279774
demolish,5.5093883366279774
pamuk,5.5093883366279774
nobel,5.5093883366279774
literatur,5.5093883366279774
bid,5.5093883366279774
fat,5.5093883366279774
